City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,current Description
0,Vaini,-21.2,-175.2,66.36,82,20,6.91,TO,2021-08-07 15:05:52,few clouds
1,Rikitea,-23.1203,-134.9692,73.85,80,5,9.01,PF,2021-08-07 15:05:53,clear sky
2,Port Elizabeth,-33.918,25.5701,66.09,80,90,11.18,ZA,2021-08-07 15:04:36,overcast clouds
3,Pevek,69.7008,170.3133,39.36,86,36,7.02,RU,2021-08-07 15:05:53,scattered clouds
4,Qaanaaq,77.484,-69.3632,41.32,72,91,6.13,GL,2021-08-07 15:05:54,overcast clouds
5,Dunedin,-45.8742,170.5036,39.79,71,100,8.25,NZ,2021-08-07 15:05:54,overcast clouds
6,Vegreville,53.5001,-112.0518,61.86,51,100,4.7,CA,2021-08-07 15:04:44,overcast clouds
7,Hilo,19.7297,-155.09,74.93,87,90,3.44,US,2021-08-07 15:05:02,light rain
8,Guarapari,-20.6667,-40.4975,69.69,72,99,6.58,BR,2021-08-07 15:05:55,overcast clouds
9,Moroni,-11.7022,43.2551,76.1,72,42,6.8,KM,2021-08-07 15:05:55,light rain
10,Bredasdorp,-34.5322,20.0403,61.81,76,100,4.34,ZA,2021-08-07 15:05:56,overcast clouds
11,Karratha,-20.7377,116.8463,71.56,65,96,6.51,AU,2021-08-07 15:05:56,light rain
12,Puerto Ayora,-0.7393,-90.3518,72.55,83,87,5.01,EC,2021-08-07 15:05:56,overcast clouds
13,Te Anau,-45.4167,167.7167,36.07,98,100,3.67,NZ,2021-08-07 15:05:57,overcast clouds
14,Chuy,-33.6971,-53.4616,66.9,64,5,7.0,UY,2021-08-07 15:05:57,clear sky
15,Carnarvon,-24.8667,113.6333,66.27,90,90,8.05,AU,2021-08-07 15:05:57,overcast clouds
16,Shimoda,34.6667,138.95,84.31,89,100,19.3,JP,2021-08-07 15:05:58,moderate rain
17,Bonoua,5.2741,-3.595,82.02,66,98,9.91,CI,2021-08-07 15:01:13,overcast clouds
18,Morros,-9.4467,-46.3003,86.9,30,1,13.15,BR,2021-08-07 15:05:58,clear sky
19,Tasiilaq,65.6145,-37.6368,48.36,93,99,4.92,GL,2021-08-07 15:03:11,overcast clouds
